Word,Score
away,3.1
lifes,4.7
problems,4.25
look,4.407407407407407
lyrics,4.7
much,3.563888888888888
see,3.588461538461538
physics,4.8
teacher,4.3
skip,4.8
classes,4.05
wish,3.1800000000000006
japan,3.3
hate,4.32
lot,3.875
bed,4.1
left,3.811111111111111
realized,4.1
forgot,4.0
backpack,4.1
house,3.2999999999999994
anything,3.86875
freeze,2.5
next,4.1000000000000005
week,3.533333333333333
apologized,4.0
still,3.1187500000000004
furious,4.0
police,4.25
get,3.666666666666666
bullets,4.7
thanks,3.2
idiot,1.2
intention,4.3
explanation,3.5
theoretically,2.9
math,4.1000000000000005
simply,3.25
almost,4.066666666666666
scared,2.9000000000000004
online,3.9
whole,3.92
day,3.427272727272728
computer,3.4799999999999995
useful,4.05
freedom,4.0
uh,1.4
weird,3.0
scare,4.2
dreamt,3.9
few,3.225
weeks,4.2
ago,3.35
expect,4.4375
schools,4.699999999999999
understand,3.4454545454545458
mathematicians,4.466666666666666
express,4.8
explicitly,4.8
stupid,4.333333333333333
need,3.6384615384615375
silly,2.1
question,2.5
demonstrate,4.0
since,3.875
obvious,4.566666666666666
someday,2.475
viagra,3.7
wikipedia,3.7
phrased,3.4
found,2.78
solution,3.1
fast,3.38
right,3.5
seems,3.14
interesting,3.583333333333333
except,4.05
candlelight,4.7
answer,3.5857142857142854
boyfriend,4.8
bad,3.3142857142857136
weight,2.4
class,3.457142857142857
play,3.4200000000000004
sudoku,1.3
continuing,1.3
bother,1.3
wait,3.8375
love,3.486666666666667
curious,4.05
congratulations,5.0
visit,2.7
possibility,2.95
unlikely,3.4
logged,4.9
inevitable,3.6
france,3.75
chemistry,5.0
guess,2.7
happens,3.4
papers,4.25
options,2.5
traveller,3.6
nothing,3.607692307692308
either,3.2
strengths,5.0
weaknesses,5.0
seriously,4.466666666666667
episode,4.7
made,3.6866666666666665
cry,4.233333333333333
laughing,4.7
shows,4.1
robot,4.4
robots,4.7
dream,4.325
underestimate,5.0
power,4.066666666666666
mom,4.3
speak,3.6625
english,3.85
very,4.185185185185186
well,4.06875
french,3.18
enough,3.327272727272728
wondering,2.8
show,3.95
therein,4.1
lies,4.1
food,3.5500000000000003
outer,2.5
space,2.5
wants,3.633333333333333
meet,3.333333333333333
famous,3.65
sorry,2.9166666666666665
done,3.5583333333333336
utterly,4.3
despise,4.3
formal,4.3
writing,3.3000000000000003
foreign,4.75
intrigue,5.0
whatever,4.366666666666667
says,3.78
keeps,3.15
late,3.6833333333333336
surprised,4.066666666666666
travel,2.8666666666666667
hard,4.2
harder,4.45
bearing,4.6
unbearable,4.6
stop,3.971428571428571
making,4.183333333333334
uncomfortable,4.9
truth,4.013333333333334
land,4.15
moon,3.3
japanese,3.16
pun,5.0
nobody,3.425
understands,1.4
learned,3.5
without,3.288888888888889
useless,1.95
keep,3.5846153846153848
thinking,3.1
mind,3.6125
days,3.3600000000000003
check,3.4
email,2.6
behind,2.3
priorities,4.6
use,3.2363636363636363
pretending,1.9
make,3.677419354838709
believe,2.813333333333333
work,4.054166666666667
dumb,1.0
trying,3.2375000000000003
seeing,3.5
normal,3.8
referring,2.7
eternity,2.3
grades,2.2
certain,3.6
decided,2.8
rolling,4.4
stone,4.25
gathers,4.9
moss,4.9
proverb,4.9
drink,3.25
mother,3.76
matter,3.5
cave,3.1
must,4.606779661016949
together,4.633333333333333
brothers,4.8
perish,4.8
fools,4.2
working,3.7
heights,2.1
looking,4.55
pretty,3.314285714285714
communication,3.6
complex,2.6
phone,3.325
ringing,5.0
nice,4.4
thank,3.5800000000000005
helping,4.5
run,4.6
wind,4.433333333333334
likes,4.3
music,4.1000000000000005
please,3.0681818181818183
happiness,2.875
awaiting,2.3
sort,2.3
decide,2.85
whether,3.24
begin,4.800000000000001
eightthirty,4.9
boat,2.35
far,3.2857142857142856
playing,4.033333333333333
cards,4.3
met,3.5
somewhere,3.7
allen,5.0
poet,5.0
archer,5.0
killed,5.0
deer,5.0
communism,5.0
reached,5.0
lifetime,5.0
rye,4.7
called,2.95
grain,4.7
poverty,4.3
s,4.3
finns,4.3
cited,4.3
least,3.86
healthy,4.55
diets,4.3
mistake,3.3
correct,2.6
deck,4.5
oaken,4.5
table,4.75
germans,4.05
crafty,4.7
eat,3.690909090909092
die,4.7
spell,2.1
home,3.475
ten,3.5500000000000003
years,3.15
million,4.4
lost,4.137500000000001
lives,3.5250000000000004
war,3.283333333333333
rare,4.4
ninety,4.4
first,3.7
outline,4.8
website,4.8
democracy,4.7
form,3.78
government,3.9
tried,3.3666666666666667
beginning,3.6
photo,4.7
passport,4.7
holiday,4.7
commissioner,4.9
white,2.4
pants,2.4
around,3.72
naturally,4.2
became,4.2
nervous,3.85
train,4.3
station,4.233333333333333
saw,4.95
man,3.8461538461538463
angel,5.0
madrid,5.0
quite,3.1714285714285717
lucky,3.9
bite,4.2
eggs,2.5
round,4.1
trip,3.5
oneway,4.1
pity,3.7
somebody,3.1666666666666665
dies,3.9
speechless,4.2
damn,4.3
pull,4.6
washing,4.6
wash,3.2750000000000004
wearing,3.8
open,4.333333333333333
stops,4.8
glass,4.9
houses,4.9
throw,3.1
stones,4.9
blind,3.05
complicated,4.3
answers,4.9
raise,4.550000000000001
questions,4.050000000000001
doubts,4.7
oneself,4.7
sign,3.6
intelligence,3.766666666666667
poor,3.9
little,3.58
known,3.85
souvenir,3.6
united,3.333333333333333
states,3.333333333333333
excuse,3.4
allow,4.0
three,4.033333333333333
errors,3.4
article,3.6
difficult,3.675
conversation,4.6
someone,3.711111111111111
yes,3.875
italian,2.75
noise,4.175
stared,4.2
typewriter,4.0
hamlet,3.8
written,3.2999999999999994
inquired,2.4
master,3.6
impossible,3.066666666666667
spend,3.34
rest,4.11
regretting,2.3
fun,3.45
change,3.08
guessed,1.9
imagination,4.3
affects,4.3
aspect,4.3
forget,3.225
rather,4.1
unexpected,3.4
tv,2.766666666666667
achieved,4.2
effort,3.866666666666667
drift,4.4
purpose,3.5
totally,3.5666666666666664
pointless,1.9
changes,3.633333333333333
exams,3.45
ruining,3.4
condom,3.3
tells,4.5
walk,4.95
minutes,3.4333333333333336
took,3.333333333333333
two,3.428571428571428
hours,3.216666666666667
translate,3.35
pages,3.15
already,3.2833333333333337
