,Word,Score
366,still,4.8
367,furious,4.0
368,police,3.5
369,get,3.6
370,bullets,4.7
371,thanks,4.4
372,idiot,1.2
373,intention,3.1
374,explanation,3.0
375,theoretically,2.9
376,math,3.5
377,simply,3.2
378,almost,4.0
379,scared,2.9
380,online,3.8
381,whole,3.6
382,day,3.4
383,computer,3.7
384,useful,3.7
385,freedom,3.1
386,uh,1.4
387,weird,3.0
388,scare,4.2
389,dreamt,3.9
390,few,3.2
391,weeks,4.2
392,ago,3.5
393,expect,3.3
394,schools,4.6
395,understand,4.4
396,mathematicians,4.4
397,express,1.1
398,explicitly,4.8
399,stupid,4.3
400,need,3.6
401,silly,2.1
402,question,3.4
403,demonstrate,4.0
404,since,3.8
405,obvious,4.5
406,someday,2.4
407,viagra,3.6
408,wikipedia,3.7
409,phrased,3.4
410,found,2.7
411,solution,3.3
412,fast,3.3
413,right,3.0
414,seems,3.1
415,interesting,2.9
416,except,4.0
417,candlelight,4.7
418,answer,3.5
419,boyfriend,4.8
420,bad,2.9
421,weight,2.2
422,class,3.7
423,play,2.4
424,sudoku,1.3
425,continuing,1.3
426,bother,1.3
427,wait,3.8
428,love,3.4
429,curious,4.0
430,congratulations,5.0
431,visit,2.7
432,possibility,3.8
433,unlikely,3.4
434,logged,4.9
435,inevitable,3.6
436,france,4.8
437,chemistry,3.5
438,guess,3.0
439,happens,3.4
440,papers,4.2
441,options,2.5
442,traveller,3.6
443,nothing,3.6
444,either,3.3
445,strengths,5.0
446,weaknesses,5.0
447,seriously,4.4
448,episode,4.7
449,made,3.5
450,cry,3.6
451,laughing,4.7
452,shows,4.1
453,robot,4.4
454,robots,4.7
455,dream,4.3
456,underestimate,5.0
457,power,4.8
458,mom,4.3
459,speak,3.1
460,english,4.8
461,very,3.3
462,well,3.3
463,french,3.1
464,enough,3.3
465,wondering,2.8
466,show,3.9
467,therein,4.1
468,lies,4.1
469,food,4.4
470,outer,2.5
471,space,3.5
472,wants,3.6
473,meet,3.3
474,famous,3.6
475,sorry,2.9
476,done,3.5
477,utterly,3.6
478,despise,4.3
479,formal,3.5
480,writing,4.0
481,foreign,4.7
482,intrigue,5.0
483,whatever,4.3
484,says,3.7
485,keeps,3.1
486,late,3.6
487,surprised,4.0
488,travel,3.7
489,hard,3.5
490,harder,4.4
